# Minimal subdegree s_min(n) = min over monic irreducible f of degree n
# over F_2 of deg(f - x^n).  Kaser--Lemire asserts s_min(n) <= floor(n/2).
# Producer: an independent python-flint Rabin search (venv
# lemire-signed-trace-lemire-venv), candidates enumerated by INCREASING
# subdegree, so the value is the EXACT minimum, not an upper bound.
# Coverage: every n in 2..400, then 410..1000 step 10, 1100..3000 step 100
# (479 degrees).  The checker re-derives the prefix n <= 60 from scratch.
# n s_min(n) candidates_tested seconds
2 1 2 0.000
3 1 2 0.000
4 1 2 0.000
5 2 3 0.000
6 1 2 0.000
7 1 2 0.000
8 4 14 0.000
9 1 2 0.000
10 3 5 0.000
11 2 3 0.000
12 3 5 0.000
13 4 14 0.000
14 5 17 0.000
15 1 2 0.000
16 5 22 0.000
17 3 5 0.000
18 3 5 0.000
19 5 20 0.000
20 3 5 0.000
21 2 3 0.000
22 1 2 0.000
23 5 17 0.000
24 4 14 0.000
25 3 5 0.000
26 4 14 0.000
27 5 20 0.000
28 1 2 0.000
29 2 3 0.000
30 1 2 0.000
31 3 5 0.000
32 7 71 0.005
33 6 38 0.001
34 4 14 0.000
35 2 3 0.000
36 5 27 0.001
37 5 32 0.001
38 6 50 0.001
39 4 9 0.000
40 5 29 0.001
41 3 5 0.000
42 5 20 0.001
43 6 45 0.008
44 5 17 0.006
45 4 14 0.003
46 1 2 0.000
47 5 17 0.001
48 5 23 0.001
49 6 57 0.009
50 4 15 0.001
51 6 38 0.002
52 3 5 0.000
53 6 36 0.002
54 6 63 0.010
55 6 36 0.005
56 7 75 0.026
57 4 9 0.001
58 6 50 0.014
59 6 62 0.011
60 1 2 0.000
61 5 20 0.001
62 6 53 0.007
63 1 2 0.000
64 4 14 0.004
65 4 14 0.001
66 3 5 0.000
67 5 20 0.001
68 7 82 0.018
69 6 51 0.015
70 5 22 0.002
71 5 22 0.002
72 6 48 0.011
73 4 15 0.001
74 6 36 0.011
75 6 38 0.006
76 5 27 0.010
77 6 51 0.011
78 6 48 0.024
79 4 15 0.001
80 7 88 0.028
81 4 9 0.001
82 7 108 0.032
83 7 75 0.036
84 5 17 0.005
85 8 132 0.056
86 6 51 0.009
87 7 82 0.035
88 5 32 0.007
89 6 53 0.014
90 5 23 0.006
91 7 119 0.036
92 6 51 0.016
93 2 3 0.000
94 6 50 0.013
95 6 60 0.018
96 6 56 0.017
97 6 33 0.014
98 7 77 0.030
99 6 38 0.008
100 6 51 0.017
101 7 98 0.057
102 6 53 0.018
103 7 95 0.035
104 4 14 0.008
105 4 9 0.002
106 6 50 0.027
107 7 88 0.032
108 6 42 0.014
109 5 27 0.007
110 6 42 0.014
111 7 75 0.030
112 5 29 0.007
113 5 23 0.018
114 5 23 0.010
115 7 88 0.046
116 4 12 0.002
117 5 20 0.007
118 6 51 0.025
119 8 129 0.080
120 4 14 0.011
121 8 146 0.098
122 6 36 0.014
