# divisor-bound audit
# (a) averaged identity sum_{deg x=m} tau(x) = (m+1) q^m is EXACT
# (b) pointwise extremal max tau = 2^m for m <= q
# (c) the constant C_div(q, gamma) in tau(x) <= C_div q^{gamma deg x}
#     at gamma = delta(q), which is what the proofs invoke
# l|q|delta|log10(log_q C_div)|best_J|log10(n0_as_written)|K_max
11|177147|8.6302e-04|341.17|66|344.54|0.3620
12|531441|1.6112e-03|178.72|32|181.81|1.1721
13|1594323|2.2214e-03|126.21|21|129.16|2.8023
14|4782969|2.7285e-03|102.82|16|105.69|5.9632
15|14348907|3.1565e-03|88.94|13|91.74|11.9521
16|43046721|3.5225e-03|79.77|11|82.52|23.1059
17|129140163|3.8391e-03|69.45|9|72.17|43.6216
18|387420489|4.1156e-03|65.13|8|67.82|81.0017
19|1162261467|4.3592e-03|60.04|7|62.70|148.6081
20|3486784401|4.5754e-03|54.09|6|56.73|270.1667
21|10460353203|4.7686e-03|56.50|6|59.12|487.7021
22|31381059609|4.9422e-03|49.38|5|51.99|875.4863
23|94143178827|5.0990e-03|51.46|5|54.05|1564.5230
24|282429536481|5.2416e-03|52.46|5|55.04|2785.5963
25|847288609443|5.3715e-03|44.68|4|47.26|4944.3863
26|2541865828329|5.4906e-03|46.38|4|48.94|8753.8107
27|7625597484987|5.6000e-03|47.91|4|50.47|15464.1060
28|22876792454961|5.7009e-03|37.34|3|39.88|27267.3706
29|68630377364883|5.7943e-03|38.67|3|41.21|48001.7357
30|205891132094649|5.8809e-03|39.99|3|42.53|84384.4833
