# Forcing detail. small(t) = #{psi != 1 : |A_psi| <= t * 2^(ell-1)}.
# best_forced = max over observed cuts tau of sqrt((NTM - Z_tau tau^2)/(|K|-1-Z_tau)).
# smallest_m_is_coset: do the m psi with the smallest |A_psi| form a coset of a
# subspace of K^dual (which is what an annihilator of a sub-cylinder would be)?
# m=2 is a coset for trivial reasons; the chance rate at m=4, |K|=128 is 0.8%.
# Z_needed = the exact-zero count that would refute (CYL); - means impossible
# (no vanishing pattern whatever can force max |A_psi| >= 2^(ell-1)).
ell=12 n=25 |K|-1= 63 small(0.0)=0 small(0.001)=0 small(0.01)=0 small(0.05)=1 small(0.1)=4 small(0.25)=10 small(0.5)=21 | min|A|=76 min/rms=0.0347 rms/thr=1.0698 v2(A_1)=6 v2min=2 v2max=10 | best_forced/thr=1.3224 at tau/thr=0.792969 Z_tau=34 | ceiling/thr=8.4909 Z_needed=0 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=12 n=26 |K|-1= 63 small(0.0)=0 small(0.001)=0 small(0.01)=0 small(0.05)=5 small(0.1)=5 small(0.25)=13 small(0.5)=18 | min|A|=40 min/rms=0.0126 rms/thr=1.5527 v2(A_1)=9 v2min=2 v2max=8 | best_forced/thr=1.9255 at tau/thr=1.199219 Z_tau=36 | ceiling/thr=12.3239 Z_needed=0 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=13 n=27 |K|-1= 63 small(0.0)=0 small(0.001)=0 small(0.01)=0 small(0.05)=1 small(0.1)=7 small(0.25)=20 small(0.5)=29 | min|A|=44 min/rms=0.0135 rms/thr=0.7979 v2(A_1)=4 v2min=2 v2max=12 | best_forced/thr=0.9910 at tau/thr=0.529297 Z_tau=31 | ceiling/thr=6.3334 Z_needed=23 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=13 n=28 |K|-1= 63 small(0.0)=0 small(0.001)=0 small(0.01)=0 small(0.05)=0 small(0.1)=3 small(0.25)=13 small(0.5)=20 | min|A|=288 min/rms=0.0489 rms/thr=1.4367 v2(A_1)=5 v2min=3 v2max=9 | best_forced/thr=1.8947 at tau/thr=0.958984 Z_tau=36 | ceiling/thr=11.4033 Z_needed=0 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=14 n=29 |K|-1= 63 small(0.0)=0 small(0.001)=0 small(0.01)=1 small(0.05)=4 small(0.1)=10 small(0.25)=22 small(0.5)=39 | min|A|=28 min/rms=0.0062 rms/thr=0.5520 v2(A_1)=5 v2min=1 v2max=5 | best_forced/thr=0.6903 at tau/thr=0.371826 Z_tau=32 | ceiling/thr=4.3815 Z_needed=44 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=14 n=30 |K|-1= 63 small(0.0)=0 small(0.001)=0 small(0.01)=0 small(0.05)=4 small(0.1)=5 small(0.25)=14 small(0.5)=28 | min|A|=136 min/rms=0.0200 rms/thr=0.8290 v2(A_1)=3 v2min=2 v2max=8 | best_forced/thr=1.0386 at tau/thr=0.360840 Z_tau=26 | ceiling/thr=6.5803 Z_needed=20 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=15 n=31 |K|-1= 63 small(0.0)=0 small(0.001)=0 small(0.01)=0 small(0.05)=5 small(0.1)=14 small(0.25)=27 small(0.5)=43 | min|A|=280 min/rms=0.0372 rms/thr=0.4599 v2(A_1)=2 v2min=1 v2max=4 | best_forced/thr=0.5755 at tau/thr=0.266724 Z_tau=29 | ceiling/thr=3.6501 Z_needed=50 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=15 n=32 |K|-1= 63 small(0.0)=0 small(0.001)=0 small(0.01)=0 small(0.05)=6 small(0.1)=14 small(0.25)=19 small(0.5)=38 | min|A|=392 min/rms=0.0319 rms/thr=0.7504 v2(A_1)=3 v2min=3 v2max=3 | best_forced/thr=1.0594 at tau/thr=0.441895 Z_tau=38 | ceiling/thr=5.9564 Z_needed=28 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=16 n=33 |K|-1= 63 small(0.0)=0 small(0.001)=0 small(0.01)=1 small(0.05)=5 small(0.1)=13 small(0.25)=31 small(0.5)=53 | min|A|=98 min/rms=0.0081 rms/thr=0.3692 v2(A_1)=1 v2min=1 v2max=8 | best_forced/thr=0.4665 at tau/thr=0.202393 Z_tau=29 | ceiling/thr=2.9306 Z_needed=55 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=16 n=34 |K|-1= 63 small(0.0)=0 small(0.001)=0 small(0.01)=0 small(0.05)=8 small(0.1)=14 small(0.25)=24 small(0.5)=46 | min|A|=460 min/rms=0.0302 rms/thr=0.4651 v2(A_1)=2 v2min=2 v2max=8 | best_forced/thr=0.5634 at tau/thr=0.360596 Z_tau=34 | ceiling/thr=3.6915 Z_needed=50 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
ell=17 n=35 |K|-1=127 small(0.0)=0 small(0.001)=0 small(0.01)=1 small(0.05)=13 small(0.1)=24 small(0.25)=75 small(0.5)=108 | min|A|=454 min/rms=0.0210 rms/thr=0.3297 v2(A_1)=8 v2min=1 v2max=9 | best_forced/thr=0.4201 at tau/thr=0.251526 Z_tau=76 | ceiling/thr=3.7159 Z_needed=114 | zero_set_is_subgroup=n/a smallest_m_is_coset=2:1,4:0,8:0,16:0
